Wavelength.,W.mý
Wavelength(nm),W/mý
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,1.0437E-4
292,1.43813E-4
293,2.44415E-4
294,3.82986E-4
295,5.98403E-4
296,0.00113
297,0.00231
298,0.00305
299,0.00328
300,0.00414
301,0.00553
302,0.00818
303,0.01277
304,0.01436
305,0.01742
306,0.02142
307,0.02591
308,0.03091
309,0.03652
310,0.04263
311,0.04952
312,0.07581
313,0.1141
314,0.07877
315,0.08144
316,0.08987
317,0.0982
318,0.10667
319,0.11559
320,0.12368
321,0.13303
322,0.14229
323,0.15098
324,0.15978
325,0.16745
326,0.17568
327,0.18395
328,0.1893
329,0.19603
330,0.20275
331,0.20753
332,0.21394
333,0.22014
334,0.22937
335,0.22799
336,0.23009
337,0.23252
338,0.23412
339,0.23548
340,0.23571
341,0.238
342,0.23831
343,0.23924
344,0.24023
345,0.23818
346,0.23677
347,0.23382
348,0.23085
349,0.22792
350,0.22405
351,0.22109
352,0.21709
353,0.21403
354,0.20931
355,0.20467
356,0.20091
357,0.19524
358,0.18925
359,0.18361
360,0.17656
361,0.17123
362,0.16644
363,0.16075
364,0.1943
365,0.21747
366,0.15884
367,0.13719
368,0.13005
369,0.12503
370,0.11988
371,0.11449
372,0.11016
373,0.1052
374,0.09975
375,0.09484
376,0.0899
377,0.08461
378,0.08023
379,0.07592
380,0.07046
381,0.067
382,0.06311
383,0.05968
384,0.05583
385,0.05267
386,0.0492
387,0.04677
388,0.04364
389,0.04104
390,0.03863
391,0.03618
392,0.03343
393,0.03132
394,0.02932
395,0.02734
396,0.02563
397,0.02365
398,0.02225
399,0.0204
400,0.01912
401,0.0177
402,0.01645
403,0.02603
404,0.18467
405,0.06212
406,0.01279
407,0.01961
408,0.0162
409,0.01072
410,0.00932
411,0.00862
412,0.00801
413,0.00737
414,0.00692
415,0.00648
416,0.00602
417,0.00565
418,0.0053
419,0.00498
420,0.00452
421,0.00448
422,0.00428
423,0.00401
424,0.00376
425,0.00355
426,0.00335
427,0.00313
428,0.00296
429,0.00279
430,0.00262
431,0.00248
432,0.00236
433,0.00266
434,0.02241
435,0.40856
436,0.21717
437,0.00243
438,0.00224
439,0.00186
440,0.00165
441,0.00155
442,0.00146
443,0.00139
444,0.00133
445,0.00127
446,0.00124
447,0.00118
448,0.00113
449,0.00109
450,0.00105
451,0.00102
452,9.791E-4
453,9.45888E-4
454,9.17127E-4
455,8.8586E-4
456,8.57168E-4
457,8.41931E-4
458,8.18069E-4
459,7.91523E-4
460,7.71627E-4
461,7.48046E-4
462,7.26567E-4
463,6.96542E-4
464,6.74492E-4
465,6.60427E-4
466,6.48228E-4
467,6.34961E-4
468,6.21501E-4
469,6.03992E-4
470,5.84426E-4
471,5.72755E-4
472,5.61647E-4
473,5.4876E-4
474,5.34121E-4
475,5.22279E-4
476,5.22351E-4
477,4.96718E-4
478,4.99716E-4
479,4.77641E-4
480,4.71223E-4
481,4.58647E-4
482,4.52648E-4
483,4.5057E-4
484,4.36324E-4
485,4.27105E-4
486,4.39759E-4
487,4.33753E-4
488,4.18323E-4
489,4.03331E-4
490,5.04483E-4
491,0.00107
492,0.00121
493,6.57507E-4
494,4.60797E-4
495,3.83952E-4
496,3.63965E-4
497,3.48829E-4
498,3.39012E-4
499,3.3137E-4
500,3.34907E-4
501,3.29555E-4
502,3.36956E-4
503,3.46648E-4
504,3.41432E-4
505,3.45443E-4
506,3.43782E-4
507,3.46147E-4
508,3.39802E-4
509,3.42539E-4
510,3.53959E-4
511,3.34654E-4
512,3.63925E-4
513,3.67456E-4
514,3.48247E-4
515,3.61284E-4
516,3.60713E-4
517,3.47621E-4
518,3.46538E-4
519,3.26946E-4
520,3.2043E-4
521,3.21063E-4
522,3.1415E-4
523,3.01179E-4
524,2.95639E-4
525,2.89611E-4
526,2.77367E-4
527,2.78293E-4
528,2.72547E-4
529,2.74245E-4
530,2.74295E-4
531,2.6964E-4
532,2.70469E-4
533,2.51319E-4
534,2.45624E-4
535,2.53936E-4
536,2.48879E-4
537,2.43014E-4
538,2.37426E-4
539,2.38777E-4
540,2.40126E-4
541,2.42234E-4
542,2.72305E-4
543,3.17582E-4
544,0.00172
545,0.18204
546,0.11303
547,0.02213
548,2.54207E-4
549,2.4917E-4
550,2.20793E-4
551,1.99015E-4
552,2.00072E-4
553,1.94525E-4
554,1.87994E-4
555,1.81618E-4
556,1.59439E-4
557,1.68263E-4
558,1.70107E-4
559,1.70956E-4
560,1.73071E-4
561,1.7418E-4
562,1.76326E-4
563,1.77436E-4
564,0
565,1.72133E-4
566,0
567,1.84055E-4
568,1.85596E-4
569,0
570,0
571,0
572,0
573,0
574,0
575,0.00117
576,0.01345
577,0.01111
578,0.01738
579,0.01374
580,0.00939
581,0.00292
582,9.80609E-4
583,4.02498E-4
584,2.12813E-4
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,2.61398E-4
613,2.63283E-4
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,2.93314E-4
624,3.40401E-4
625,4.3395E-4
626,4.69847E-4
627,3.83815E-4
628,3.56983E-4
629,3.13835E-4
630,3.19156E-4
631,3.38248E-4
632,3.4141E-4
633,3.46001E-4
634,3.49248E-4
635,3.5327E-4
636,3.41035E-4
637,3.44316E-4
638,3.48323E-4
639,3.53174E-4
640,3.92247E-4
641,4.15638E-4
642,4.22198E-4
643,4.27007E-4
644,4.31882E-4
645,4.9711E-4
646,5.40672E-4
647,5.27782E-4
648,5.73819E-4
649,5.99584E-4
650,6.50595E-4
651,6.55633E-4
652,7.10483E-4
653,7.17795E-4
654,7.50184E-4
655,7.8162E-4
656,8.11729E-4
657,8.46691E-4
658,8.8047E-4
659,9.1504E-4
660,9.5042E-4
661,9.64627E-4
662,0.001
663,0.00109
664,0.00108
665,0.00112
666,0.00114
667,0.00113
668,0.0012
669,0.00126
670,0.00125
671,0.00133
672,0.0014
673,0.0014
674,0.00142
675,0.00145
676,0.00143
677,0.00146
678,0.00148
679,0.0015
680,0.00152
681,0.00154
682,0.0016
683,0.00162
684,0.00161
685,0.00163
686,0.00166
687,0.00166
688,0.00182
689,0.00185
690,0.0022
691,0.0026
692,0.00238
693,0.00208
694,0.002
695,0.00203
696,0.00206
697,0.00215
698,0.00206
699,0.00209
700,0.00208
701,0.00216
702,0.00219
703,0.00222
704,0.00221
705,0.00225
706,0.00228
707,0.00236
708,0.00243
709,0.00248
710,0.00247
711,0.00242
712,0.00232
713,0.00246
714,0.00234
715,0.00243
716,0.00248
717,0.00253
718,0.00256
719,0.00257
720,0.00248
721,0.00247
722,0.00258
723,0.00262
724,0.00253
725,0.00258
726,0.00261
727,0.00258
728,0.00256
729,0.00315
730,0.0039
731,0.00381
732,0.00323
733,0.003
734,0.00274
735,0.00262
736,0.0026
737,0.00249
738,0.00262
739,0.00274
740,0.00262
741,0.00265
742,0.00253
743,0.00241
744,0.00235
745,0.00248
746,0.00253
747,0.00237
748,0.00232
749,0.00236
750,0.0024
751,0.00253
752,0.00247
753,0.00231
754,0.00246
755,0
756,0
757,0.00215
758,0.00229
759,0.00232
760,0.00235
761,0
762,0
763,0.00235
764,0.00251
765,0.00241
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
